date,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
2026-01-01,-0.5350918,0.007841051,0.074088335,0.11133923,-0.20901309,0.16745192,0.31682822,-0.037817493,-0.79189336,0.51857257,0.22521755,-0.4309657,-0.3001007,0.6062506,0.21349414,0.08014812,0.20998035,-0.24063452,-0.26003474,-0.22963159,-0.2605413,-0.24963735,0.020580301,-0.50162446,0.23906139,0.3716277,-0.026565667,0.15087672,-0.093887836,-0.09265381,0.2050048,0.63643765
2026-01-02,-0.5895861,-0.036234707,0.0028682072,0.054639418,-0.18014054,0.13019025,0.31718177,-0.06476026,-0.83132744,0.47904223,0.22361967,-0.44849846,-0.33956352,0.5014505,0.24442615,0.0627937,0.21339011,-0.26079857,-0.20395215,-0.20000598,-0.24059838,-0.28944698,0.04183575,-0.5439924,0.15289062,0.3479964,-0.04573681,0.12672728,-0.09647019,-0.109975174,0.17320529,0.6385576
2026-01-05,-0.5849741,-0.022522032,-0.0044331755,0.06371917,-0.1864359,0.14632407,0.31643668,-0.070429415,-0.8383953,0.47890586,0.23691118,-0.45071527,-0.3227885,0.51825523,0.2566353,0.06473896,0.21718468,-0.26319683,-0.20064469,-0.19844759,-0.2369347,-0.27317783,0.04079143,-0.54246986,0.16713688,0.35016012,-0.027751397,0.13164708,-0.109757915,-0.12331392,0.1590521,0.6305997
2026-01-06,-0.58575416,-0.028027996,-0.0016091987,0.06045506,-0.18486266,0.14052032,0.3178646,-0.06732848,-0.8328419,0.47716004,0.23136896,-0.44951135,-0.32908216,0.50939983,0.2513104,0.06501285,0.21437138,-0.26061144,-0.20307638,-0.20026265,-0.2375112,-0.27761412,0.041650183,-0.54039496,0.16223747,0.34939545,-0.03498714,0.12968352,-0.1035507,-0.11920744,0.16502742,0.6327613
2026-01-07,-0.5885589,-0.029196061,-0.004277507,0.05843881,-0.18474303,0.13977,0.31748694,-0.066754445,-0.8376582,0.47771582,0.23130727,-0.44904062,-0.32940793,0.5094504,0.2529923,0.06290509,0.2164647,-0.26460233,-0.20005651,-0.19615816,-0.23667535,-0.27832055,0.04190383,-0.5408314,0.16142157,0.35031992,-0.03179309,0.12962064,-0.10466647,-0.120134585,0.16284434,0.63235825
2026-01-08,-0.59702265,-0.03866476,-0.0027561802,0.048967723,-0.1862014,0.12889066,0.31524193,-0.062522456,-0.8456331,0.48126757,0.22104022,-0.4452335,-0.33937922,0.5032504,0.24924816,0.058573335,0.21967274,-0.2740409,-0.19750632,-0.18680571,-0.23712422,-0.28896788,0.042435348,-0.54234767,0.15502647,0.35253727,-0.033771705,0.12790164,-0.102228746,-0.11511919,0.16900232,0.6363439
2026-01-09,-0.596637,-0.04780169,0.00089370273,0.043849856,-0.17935939,0.11915582,0.31755754,-0.056794986,-0.84153926,0.48180652,0.21416652,-0.44295517,-0.3483953,0.49324235,0.23991118,0.059784673,0.21993154,-0.27271214,-0.19515471,-0.18814492,-0.23838224,-0.2974764,0.04299648,-0.54131347,0.14417279,0.35300872,-0.04203074,0.124617115,-0.09438075,-0.1079203,0.17562075,0.6373985
2026-01-12,-0.6007137,-0.05127775,-0.0021973401,0.040983632,-0.17990947,0.11672079,0.31675953,-0.05711928,-0.84664655,0.48281324,0.21241328,-0.4413194,-0.35144058,0.49198946,0.24200661,0.05769538,0.2216885,-0.27684116,-0.19269694,-0.18352354,-0.23579149,-0.2992824,0.04374852,-0.5428622,0.14233127,0.35342634,-0.04097492,0.123767,-0.09604457,-0.108594134,0.1744145,0.6380568
2026-01-13,-0.60404915,-0.057597175,0.00185946,0.036717124,-0.17864451,0.111066505,0.31776983,-0.052886024,-0.84513,0.48426396,0.20457777,-0.4379363,-0.35711947,0.48626044,0.23525389,0.05546356,0.22117099,-0.27807826,-0.19451873,-0.18291199,-0.23744561,-0.30571508,0.04342255,-0.5414258,0.13860744,0.35506263,-0.045672033,0.12188409,-0.09165089,-0.10312978,0.18127465,0.6411974
2026-01-14,-0.6032353,-0.057910472,-0.00014699064,0.034495343,-0.17915277,0.11085342,0.3165816,-0.052710295,-0.8480746,0.4823075,0.20734456,-0.43738288,-0.35699257,0.48726103,0.23929445,0.05484254,0.22234052,-0.28097004,-0.19302298,-0.17834936,-0.2349462,-0.30262348,0.042476445,-0.54092246,0.14016646,0.3541945,-0.04218107,0.12225753,-0.0919404,-0.10482213,0.17723216,0.63948673
